id_interaccion,id_cliente,id_producto,fecha_interaccion,canal,aceptado,segmento
INT_000001,CLI_000673,PRD_0026,2025-08-24,Sucursal,False,Premium
INT_000002,CLI_000758,PRD_0003,2025-04-09,Digital,False,Classic
INT_000003,CLI_000268,PRD_0029,2025-02-22,App Móvil,True,Basic
INT_000004,CLI_000621,PRD_0008,2025-08-26,Digital,True,Premium
INT_000005,CLI_000380,PRD_0010,2024-11-23,Sucursal,True,Classic
INT_000006,CLI_000879,PRD_0045,2025-03-14,Call Center,False,Premium
INT_000007,CLI_000833,PRD_0002,2025-04-19,Digital,False,Premium
INT_000008,CLI_000584,PRD_0038,2025-05-17,Sucursal,True,Classic
INT_000009,CLI_000120,PRD_0006,2025-02-15,Call Center,False,Classic
INT_000010,CLI_000045,PRD_0048,2025-04-04,Digital,False,Classic
INT_000011,CLI_000721,PRD_0024,2025-03-25,Digital,False,Basic
INT_000012,CLI_000083,PRD_0006,2024-10-20,Call Center,False,Classic
INT_000013,CLI_000677,PRD_0014,2025-03-23,Digital,True,Premium
INT_000014,CLI_000654,PRD_0048,2024-11-21,App Móvil,True,Basic
INT_000015,CLI_000960,PRD_0002,2025-05-30,App Móvil,False,Basic
INT_000016,CLI_000824,PRD_0003,2025-08-22,Digital,False,Classic
INT_000017,CLI_000437,PRD_0045,2025-03-23,Sucursal,True,Premium
INT_000018,CLI_000930,PRD_0031,2024-11-13,App Móvil,False,Classic
INT_000019,CLI_000386,PRD_0010,2025-03-18,App Móvil,True,Basic
INT_000020,CLI_000637,PRD_0050,2025-08-10,Sucursal,True,Classic
INT_000021,CLI_000930,PRD_0029,2025-04-29,App Móvil,True,Classic
INT_000022,CLI_000948,PRD_0049,2025-05-18,App Móvil,False,Basic
INT_000023,CLI_000418,PRD_0022,2025-08-20,Digital,True,Classic
INT_000024,CLI_000144,PRD_0048,2025-02-16,Call Center,True,Classic
INT_000025,CLI_000874,PRD_0044,2025-01-14,Sucursal,False,Classic
INT_000026,CLI_000874,PRD_0028,2025-09-20,Sucursal,False,Classic
INT_000027,CLI_000223,PRD_0007,2024-12-24,Digital,True,Premium
INT_000028,CLI_000977,PRD_0027,2024-12-01,Sucursal,True,Classic
INT_000029,CLI_000321,PRD_0047,2025-03-20,App Móvil,False,Classic
INT_000030,CLI_000392,PRD_0019,2025-03-06,App Móvil,True,Classic
INT_000031,CLI_000829,PRD_0036,2025-08-21,Sucursal,False,Basic
INT_000032,CLI_000539,PRD_0003,2024-12-21,App Móvil,False,Classic
INT_000033,CLI_000874,PRD_0009,2025-06-01,Sucursal,False,Classic
INT_000034,CLI_000139,PRD_0038,2025-07-09,Call Center,False,Classic
INT_000035,CLI_000821,PRD_0038,2025-07-09,Call Center,False,Basic
INT_000036,CLI_000674,PRD_0049,2025-05-02,Call Center,True,Classic
INT_000037,CLI_000746,PRD_0026,2025-07-21,Call Center,False,Basic
INT_000038,CLI_000724,PRD_0023,2025-02-23,App Móvil,True,Basic
INT_000039,CLI_000128,PRD_0022,2025-05-03,Call Center,True,Basic
INT_000040,CLI_000533,PRD_0041,2025-08-25,Sucursal,False,Basic
INT_000041,CLI_000782,PRD_0020,2025-05-30,Call Center,True,Classic
INT_000042,CLI_000833,PRD_0027,2025-01-23,Digital,False,Premium
INT_000043,CLI_000990,PRD_0003,2025-06-25,Sucursal,False,Basic
INT_000044,CLI_000927,PRD_0003,2025-07-26,Digital,True,Classic
INT_000045,CLI_000120,PRD_0015,2025-03-15,Call Center,True,Classic
INT_000046,CLI_000619,PRD_0047,2024-11-20,App Móvil,False,Basic
INT_000047,CLI_000720,PRD_0004,2025-04-18,App Móvil,False,Basic
INT_000048,CLI_000576,PRD_0021,2025-02-25,App Móvil,False,Basic
INT_000049,CLI_000650,PRD_0002,2024-11-04,Sucursal,False,Classic
INT_000050,CLI_000422,PRD_0037,2025-07-26,Call Center,False,Basic
INT_000051,CLI_000121,PRD_0035,2024-11-29,App Móvil,False,Basic
INT_000052,CLI_000332,PRD_0048,2025-06-23,Digital,False,Basic
INT_000053,CLI_000725,PRD_0050,2025-07-05,Call Center,False,Classic
INT_000054,CLI_000743,PRD_0044,2025-04-23,Sucursal,False,Basic
INT_000055,CLI_000574,PRD_0042,2024-10-13,Digital,True,Classic
INT_000056,CLI_000976,PRD_0033,2024-12-13,Sucursal,False,Classic
INT_000057,CLI_000677,PRD_0042,2025-04-20,Digital,False,Premium
INT_000058,CLI_000943,PRD_0037,2025-03-16,App Móvil,True,Classic
INT_000059,CLI_000652,PRD_0037,2024-12-19,Sucursal,True,Classic
INT_000060,CLI_000336,PRD_0050,2024-12-28,Call Center,True,Premium
INT_000061,CLI_000583,PRD_0004,2024-12-26,Sucursal,True,Classic
INT_000062,CLI_000936,PRD_0008,2025-02-09,Digital,True,Classic
INT_000063,CLI_000313,PRD_0045,2025-06-18,App Móvil,False,Premium
INT_000064,CLI_000646,PRD_0012,2025-05-07,Call Center,False,Basic
INT_000065,CLI_000449,PRD_0039,2025-08-29,App Móvil,False,Classic
INT_000066,CLI_000811,PRD_0005,2025-03-08,Digital,False,Basic
INT_000067,CLI_000785,PRD_0040,2025-07-24,Sucursal,False,Premium
INT_000068,CLI_000910,PRD_0007,2025-06-02,Call Center,False,Classic
INT_000069,CLI_000980,PRD_0010,2025-07-17,Sucursal,True,Classic
INT_000070,CLI_000578,PRD_0014,2025-03-24,Sucursal,False,Basic
INT_000071,CLI_000620,PRD_0034,2024-12-01,Sucursal,True,Basic
INT_000072,CLI_000855,PRD_0027,2025-03-12,Digital,False,Classic
INT_000073,CLI_000926,PRD_0033,2024-10-14,Digital,True,Premium
INT_000074,CLI_000188,PRD_0040,2025-09-15,App Móvil,True,Classic
INT_000075,CLI_000600,PRD_0035,2025-04-02,Sucursal,False,Premium
INT_000076,CLI_000182,PRD_0035,2025-01-02,Call Center,False,Premium
INT_000077,CLI_000783,PRD_0021,2025-08-21,Call Center,False,Classic
INT_000078,CLI_000077,PRD_0028,2025-05-29,Digital,True,Basic
INT_000079,CLI_000376,PRD_0029,2025-04-05,Call Center,False,Classic
INT_000080,CLI_000719,PRD_0021,2024-11-24,Sucursal,True,Premium
INT_000081,CLI_000727,PRD_0034,2024-11-07,App Móvil,True,Premium
INT_000082,CLI_000441,PRD_0010,2025-03-13,Digital,False,Premium
INT_000083,CLI_000542,PRD_0010,2025-04-17,App Móvil,False,Classic
INT_000084,CLI_000791,PRD_0030,2025-02-25,App Móvil,False,Premium
INT_000085,CLI_000356,PRD_0017,2025-08-14,App Móvil,True,Classic
INT_000086,CLI_000038,PRD_0050,2025-01-15,App Móvil,True,Premium
INT_000087,CLI_000110,PRD_0029,2024-12-22,App Móvil,False,Premium
INT_000088,CLI_000718,PRD_0027,2024-12-13,Sucursal,False,Basic
INT_000089,CLI_000646,PRD_0023,2025-03-26,Call Center,True,Basic
INT_000090,CLI_000834,PRD_0042,2024-10-21,App Móvil,True,Premium
INT_000091,CLI_000908,PRD_0022,2025-01-20,Sucursal,False,Classic
INT_000092,CLI_000890,PRD_0022,2025-09-21,Digital,True,Classic
INT_000093,CLI_000295,PRD_0033,2025-05-05,App Móvil,True,Premium
INT_000094,CLI_000797,PRD_0038,2025-08-21,App Móvil,False,Basic
INT_000095,CLI_000248,PRD_0023,2025-07-23,App Móvil,True,Basic
INT_000096,CLI_000829,PRD_0005,2025-04-11,Sucursal,False,Basic
INT_000097,CLI_000286,PRD_0049,2025-06-20,App Móvil,True,Premium
INT_000098,CLI_000022,PRD_0046,2025-04-08,Digital,True,Premium
INT_000099,CLI_000896,PRD_0039,2025-02-21,Digital,False,Classic
INT_000100,CLI_000249,PRD_0048,2025-02-14,Digital,False,Basic
INT_000101,CLI_000308,PRD_0045,2025-05-03,Digital,True,Classic
INT_000102,CLI_000274,PRD_0025,2024-10-05,Call Center,True,Basic
INT_000103,CLI_000246,PRD_0010,2025-04-11,App Móvil,True,Basic
INT_000104,CLI_000630,PRD_0001,2024-10-22,Sucursal,False,Classic
INT_000105,CLI_000778,PRD_0050,2025-06-01,Digital,False,Basic
INT_000106,CLI_000548,PRD_0009,2024-12-25,Call Center,False,Classic
INT_000107,CLI_000721,PRD_0018,2024-12-21,Digital,True,Basic
INT_000108,CLI_000709,PRD_0015,2025-02-09,Call Center,False,Classic
INT_000109,CLI_000751,PRD_0033,2025-03-10,App Móvil,True,Premium
INT_000110,CLI_000483,PRD_0043,2025-06-30,Sucursal,False,Classic
INT_000111,CLI_000067,PRD_0021,2025-02-24,App Móvil,False,Premium
INT_000112,CLI_000741,PRD_0049,2024-11-23,Sucursal,True,Classic
INT_000113,CLI_000728,PRD_0027,2025-02-15,Call Center,False,Basic
INT_000114,CLI_000585,PRD_0045,2025-03-18,Digital,False,Classic
INT_000115,CLI_000628,PRD_0001,2025-06-16,Call Center,True,Basic
INT_000116,CLI_000900,PRD_0008,2024-10-08,App Móvil,True,Premium
INT_000117,CLI_000642,PRD_0040,2025-09-01,App Móvil,False,Classic
INT_000118,CLI_000288,PRD_0001,2025-01-02,App Móvil,False,Classic
INT_000119,CLI_000045,PRD_0043,2025-04-20,Digital,True,Classic
INT_000120,CLI_000688,PRD_0016,2025-08-06,App Móvil,True,Classic
INT_000121,CLI_000331,PRD_0015,2025-01-26,Call Center,True,Classic
INT_000122,CLI_000835,PRD_0042,2024-11-10,Sucursal,False,Classic
INT_000123,CLI_000862,PRD_0031,2025-03-19,Digital,True,Classic
